idx	pmid	cancer_name_from_study	cohortsize	cancer_class	gene	ensemblid	mutation_type	element	num_of_mutations	mutatedsamplesize	somatic	germline	evidencetype	evidencemethod	adult_cancer	project_code	data_source_url	cancer_category	primary_site	cancer_full_name	solid_tumor	cancertype	project_source	first_author_first_name	first_author_last_name	journal_name	year	cosmic
635	27311963	SKCM	38	metastatic	WRAP73	ENSG00000116213	SNV	promoter	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
636	27311963	SKCM	38	metastatic	SLC25A17	ENSG00000100372	SNV	promoter	NA	5	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
637	27311963	SKCM	38	metastatic	RANBP10	ENSG00000141084	SNV	promoter	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
625	27311963	SKCM	38	metastatic	RPS27A	ENSG00000143947	SNV	promoter	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
626	27311963	SKCM	38	metastatic	ODF4	ENSG00000184650	SNV	promoter	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
653	27311963	SKCM	38	metastatic	PLCB2	ENSG00000137841	SNV	promoter	NA	4	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
654	27311963	SKCM	38	metastatic	FN3KRP	ENSG00000141560	SNV	promoter	NA	4	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
655	27311963	SKCM	38	metastatic	PPP2R3A	ENSG00000073711	SNV	promoter	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
656	27311963	SKCM	38	metastatic	HNRNPC	ENSG00000092199	SNV	promoter	NA	9	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
657	27311963	SKCM	38	metastatic	NOC2L	ENSG00000188976	SNV	promoter	NA	5	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
658	27311963	SKCM	38	metastatic	FGB	ENSG00000171564	SNV	promoter	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
659	27311963	SKCM	38	metastatic	TMEM179	ENSG00000258986	SNV	promoter	NA	4	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
660	27311963	SKCM	38	metastatic	RGCC	ENSG00000102760	SNV	promoter	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
581	27311963	SKCM	38	metastatic	KLHL17	ENSG00000187961	SNV	promoter	NA	5	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
662	27311963	SKCM	38	metastatic	SIK3	ENSG00000160584	SNV	promoter	NA	4	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
583	27311963	SKCM	38	metastatic	FTH1	ENSG00000167996	SNV	promoter	NA	9	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
584	27311963	SKCM	38	metastatic	RALY	ENSG00000125970	SNV	promoter	NA	6	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
665	27311963	SKCM	38	metastatic	COQ10B	ENSG00000115520	SNV	promoter	NA	5	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
666	27311963	SKCM	38	metastatic	MUSK	ENSG00000030304	SNV	promoter	NA	9	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
667	27311963	SKCM	38	metastatic	ARHGEF3	ENSG00000163947	SNV	promoter	NA	5	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
668	27311963	SKCM	38	metastatic	SLC35G1	ENSG00000176273	SNV	promoter	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
669	27311963	SKCM	38	metastatic	KDM5A	ENSG00000073614	SNV	promoter	NA	6	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	Yes
670	27311963	SKCM	38	metastatic	UBXN7	ENSG00000163960	SNV	promoter	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
671	27311963	SKCM	38	metastatic	MORN1	ENSG00000116151	SNV	promoter	NA	4	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
672	27311963	SKCM	38	metastatic	RPL18A	ENSG00000105640	SNV	promoter	NA	6	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
673	27311963	SKCM	38	metastatic	MRPS14	ENSG00000120333	SNV	promoter	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
674	27311963	SKCM	38	metastatic	ONECUT2	ENSG00000119547	SNV	promoter	NA	4	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
675	27311963	SKCM	38	metastatic	CNDP2	ENSG00000133313	SNV	promoter	NA	4	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
676	27311963	SKCM	38	metastatic	TUBA1C	ENSG00000167553	SNV	promoter	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
677	27311963	SKCM	38	metastatic	OSBPL8	ENSG00000091039	SNV	promoter	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
638	27311963	SKCM	38	metastatic	NR5A1	ENSG00000136931	SNV	promoter	NA	4	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
639	27311963	SKCM	38	metastatic	CDC20	ENSG00000117399	SNV	promoter	NA	7	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
640	27311963	SKCM	38	metastatic	BCLAF1	ENSG00000029363	SNV	promoter	NA	5	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
681	27311963	SKCM	38	metastatic	RAB11A	ENSG00000103769	SNV	promoter	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
682	27311963	SKCM	38	metastatic	CPNE5	ENSG00000124772	SNV	promoter	NA	4	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
683	27311963	SKCM	38	metastatic	DCAF15	ENSG00000132017	SNV	promoter	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
644	27311963	SKCM	38	metastatic	CBX6	ENSG00000183741	SNV	promoter	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
645	27311963	SKCM	38	metastatic	CAMTA1	ENSG00000171735	SNV	promoter	NA	5	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	Yes
605	27311963	SKCM	38	metastatic	PRRC2B	ENSG00000130723	SNV	promoter	NA	5	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
647	27311963	SKCM	38	metastatic	EIF3G	ENSG00000130811	SNV	promoter	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
648	27311963	SKCM	38	metastatic	RPL34	ENSG00000109475	SNV	promoter	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
649	27311963	SKCM	38	metastatic	C2orf62	ENSG00000158428	SNV	promoter	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
650	27311963	SKCM	38	metastatic	MRPL20	ENSG00000242485	SNV	promoter	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
651	27311963	SKCM	38	metastatic	NFKB2	ENSG00000077150	SNV	promoter	NA	6	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	Yes
652	27311963	SKCM	38	metastatic	ATAD3B	ENSG00000160072	SNV	promoter	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
572	27311963	SKCM	38	metastatic	ASXL2	ENSG00000143970	SNV	promoter	NA	11	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
613	27311963	SKCM	38	metastatic	RNF168	ENSG00000163961	SNV	promoter	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
614	27311963	SKCM	38	metastatic	HM13	ENSG00000101294	SNV	promoter	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
615	27311963	SKCM	38	metastatic	RPL13A	ENSG00000142541	SNV	promoter	NA	13	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
576	27311963	SKCM	38	metastatic	ALYREF	ENSG00000183684	SNV	promoter	NA	6	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
577	27311963	SKCM	38	metastatic	SYF2	ENSG00000117614	SNV	promoter	NA	5	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
578	27311963	SKCM	38	metastatic	AP003733.1	ENSG00000269089	SNV	promoter	NA	9	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
700	27311963	SKCM	38	metastatic	TMC3	ENSG00000188869	SNV	splice site	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
701	27311963	SKCM	38	metastatic	CDC37	ENSG00000105401	SNV	splice site	NA	5	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
702	27311963	SKCM	38	metastatic	VIT	ENSG00000205221	SNV	splice site	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
622	27311963	SKCM	38	metastatic	YAE1D1	ENSG00000241127	SNV	promoter	NA	4	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
623	27311963	SKCM	38	metastatic	MFSD10	ENSG00000109736	SNV	promoter	NA	7	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
624	27311963	SKCM	38	metastatic	EPB41L3	ENSG00000082397	SNV	promoter	NA	5	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
746	27311963	SKCM	38	metastatic	C16orf59	ENSG00000162062	SNV	5UTR	NA	8	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
747	27311963	SKCM	38	metastatic	SCYL2	ENSG00000136021	SNV	5UTR	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
748	27311963	SKCM	38	metastatic	ZNF558	ENSG00000167785	SNV	5UTR	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
749	27311963	SKCM	38	metastatic	MTRF1	ENSG00000120662	SNV	5UTR	NA	5	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
750	27311963	SKCM	38	metastatic	MED31	ENSG00000108590	SNV	5UTR	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
751	27311963	SKCM	38	metastatic	CD2BP2	ENSG00000169217	SNV	5UTR	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
591	27311963	SKCM	38	metastatic	UBAC1	ENSG00000130560	SNV	promoter	NA	4	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
753	27311963	SKCM	38	metastatic	TAF11	ENSG00000064995	SNV	5UTR	NA	4	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
754	27311963	SKCM	38	metastatic	CDC37L1	ENSG00000106993	SNV	5UTR	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
755	27311963	SKCM	38	metastatic	MRPS33	ENSG00000090263	SNV	5UTR	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
756	27311963	SKCM	38	metastatic	RNF4	ENSG00000063978	SNV	5UTR	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
757	27311963	SKCM	38	metastatic	UMPS	ENSG00000114491	SNV	5UTR	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
597	27311963	SKCM	38	metastatic	RPE	ENSG00000197713	SNV	promoter	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
598	27311963	SKCM	38	metastatic	COX7C	ENSG00000127184	SNV	promoter	NA	4	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
599	27311963	SKCM	38	metastatic	TPRG1L	ENSG00000158109	SNV	promoter	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
600	27311963	SKCM	38	metastatic	TIPIN	ENSG00000075131	SNV	promoter	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
601	27311963	SKCM	38	metastatic	FBXO18	ENSG00000134452	SNV	promoter	NA	5	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
602	27311963	SKCM	38	metastatic	TRAPPC2L	ENSG00000167515	SNV	promoter	NA	4	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
764	27311963	SKCM	38	metastatic	PDCD2	ENSG00000071994	SNV	5UTR	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
765	27311963	SKCM	38	metastatic	AIM1	ENSG00000112297	SNV	5UTR	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
766	27311963	SKCM	38	metastatic	PHAX	ENSG00000164902	SNV	5UTR	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
606	27311963	SKCM	38	metastatic	REG1A	ENSG00000115386	SNV	promoter	NA	4	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
607	27311963	SKCM	38	metastatic	PSMC3	ENSG00000165916	SNV	promoter	NA	6	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
608	27311963	SKCM	38	metastatic	ZCCHC2	ENSG00000141664	SNV	promoter	NA	4	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
609	27311963	SKCM	38	metastatic	CRBN	ENSG00000113851	SNV	promoter	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
610	27311963	SKCM	38	metastatic	ZNF814	ENSG00000204514	SNV	promoter	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
611	27311963	SKCM	38	metastatic	RAB14	ENSG00000119396	SNV	promoter	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
612	27311963	SKCM	38	metastatic	SLC22A11	ENSG00000168065	SNV	promoter	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
774	27311963	SKCM	38	metastatic	SNRPD2	ENSG00000125743	SNV	5UTR	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
761	27311963	SKCM	38	metastatic	HSBP1	ENSG00000230989	SNV	5UTR	NA	4	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
762	27311963	SKCM	38	metastatic	PIGC	ENSG00000135845	SNV	5UTR	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
616	27311963	SKCM	38	metastatic	SMUG1	ENSG00000123415	SNV	promoter	NA	12	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
617	27311963	SKCM	38	metastatic	URB1	ENSG00000142207	SNV	promoter	NA	6	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
618	27311963	SKCM	38	metastatic	MBD6	ENSG00000166987	SNV	promoter	NA	4	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
619	27311963	SKCM	38	metastatic	CDC23	ENSG00000094880	SNV	promoter	NA	5	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
620	27311963	SKCM	38	metastatic	GLTSCR2	ENSG00000105373	SNV	promoter	NA	10	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
621	27311963	SKCM	38	metastatic	FDXR	ENSG00000161513	SNV	promoter	NA	8	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
769	27311963	SKCM	38	metastatic	SPANXN1	ENSG00000203923	SNV	5UTR	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
663	27311963	SKCM	38	metastatic	RAVER1	ENSG00000161847	SNV	promoter	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
664	27311963	SKCM	38	metastatic	TMEM63A	ENSG00000196187	SNV	promoter	NA	5	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
786	27311963	SKCM	38	metastatic	TCF21	ENSG00000118526	SNV	3UTR	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
787	27311963	SKCM	38	metastatic	FAM211B	ENSG00000178026	SNV	3UTR	NA	2	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	No
679	27311963	SKCM	38	metastatic	SFPQ	ENSG00000116560	SNV	promoter	NA	3	Yes	No	computational prediction	oncodriveFML	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Loris	Mularoni	Genome Biology	2016	Yes
